날짜,경제위기
2020-04-22,37.77433
2020-04-23,33.72063
2020-04-24,32.04234
2020-04-25,22.38574
2020-04-26,23.18616
2020-04-27,33.69481
2020-04-28,35.29563
2020-04-29,32.32636
2020-04-30,26.7751
2020-05-01,27.2915
2020-05-02,24.91608
2020-05-03,27.00748
2020-05-04,42.44771
2020-05-05,29.6411
2020-05-06,41.82804
2020-05-07,38.54892
2020-05-08,35.11489
2020-05-09,22.5923
2020-05-10,23.08288
2020-05-11,37.23211
2020-05-12,35.99277
2020-05-13,32.61037
2020-05-14,34.8567
2020-05-15,31.55176
2020-05-16,21.63697
2020-05-17,26.67183
2020-05-18,38.31655
2020-05-19,34.75342
2020-05-20,32.71365
2020-05-21,30.44151
2020-05-22,27.5497
2020-05-23,22.05009
2020-05-24,23.00542
2020-05-25,32.66201
2020-05-26,35.60547
2020-05-27,32.71365
2020-05-28,31.42266
2020-05-29,32.89439
2020-05-30,27.88536
2020-05-31,28.63413
2020-06-01,38.85876
2020-06-02,37.28375
2020-06-03,43.66124
2020-06-04,47.32765
2020-06-05,44.07436
2020-06-06,35.45055
2020-06-07,38.36819
2020-06-08,54.16989
2020-06-09,69.42938
2020-06-10,61.11541
2020-06-11,58.01704
2020-06-12,50.06454
2020-06-13,41.31164
2020-06-14,39.2977
2020-06-15,50.19364
2020-06-16,47.97314
2020-06-17,52.38832
2020-06-18,42.60263
2020-06-19,41.15672
2020-06-20,31.91324
2020-06-21,38.96204
2020-06-22,58.68835
2020-06-23,56.49367
2020-06-24,47.58585
2020-06-25,43.71288
2020-06-26,38.75548
2020-06-27,30.80299
2020-06-28,32.99767
2020-06-29,43.71288
2020-06-30,42.91247
2020-07-01,40.84688
2020-07-02,40.33049
2020-07-03,35.06325
2020-07-04,22.61812
2020-07-05,27.96281
2020-07-06,41.02762
2020-07-07,39.45262
2020-07-08,43.55796
2020-07-09,42.13787
2020-07-10,34.41776
2020-07-11,26.12961
2020-07-12,28.01445
2020-07-13,34.49522
2020-07-14,36.63826
2020-07-15,33.38497
2020-07-16,35.86367
2020-07-17,35.70875
2020-07-18,24.60624
2020-07-19,25.89723
2020-07-20,38.00671
2020-07-21,42.70591
2020-07-22,36.84482
2020-07-23,36.4317
2020-07-24,34.4694
2020-07-25,21.04311
2020-07-26,26.02633
2020-07-27,31.8616
2020-07-28,33.61735
2020-07-29,32.55873
2020-07-30,31.06119
2020-07-31,31.50012
2020-08-01,23.05706
2020-08-02,25.25174
2020-08-03,29.92512
2020-08-04,29.46036
2020-08-05,31.39684
2020-08-06,29.87348
2020-08-07,27.6788
2020-08-08,20.1136
2020-08-09,24.01239
2020-08-10,27.85954
2020-08-11,29.79602
2020-08-12,32.53292
2020-08-13,31.26775
2020-08-14,28.14355
2020-08-15,22.77304
2020-08-16,21.99845
2020-08-17,31.00955
